window_start,events_count,unique_admins,unique_entities,unique_entity_subtypes,unique_ips,unique_user_agents,unique_hostnames,avg_time_between_events_seconds,min_time_between_events_seconds,max_time_between_events_seconds,failure_count,outside_business_hours_count,first_seen_ip_count,first_seen_user_agent_count,rare_action_count,high_risk_action_count,high_risk_sequence_count,uninstall_flag_count,token_flag_count,api_key_flag_count,config_flag_count,action_center_flag_count,permissions_flag_count,authentication_flag_count,failed_admins_nunique,assets_nunique,entity_count__agent_configuration,entity_count__action_center,entity_count__endpoint_management,entity_count__api_key,entity_count__auth,subtype_count__agent_configuration_policy_review,subtype_count__action_center_response_review,subtype_count__endpoint_management_uninstall_agent,subtype_count__api_key_generate_api_key,subtype_count__auth_login_attempt,user_count__alice_admin_example_com,user_count__bob_ops_example_com,user_count__eve_temp_example_com,failure_ratio,outside_business_hours_ratio,high_risk_action_ratio,burstiness_index,events_count_rolling_mean,events_count_rolling_std,failure_count_rolling_mean,failure_count_rolling_std,unique_admins_rolling_mean,unique_admins_rolling_std,unique_ips_rolling_mean,unique_ips_rolling_std,high_risk_action_count_rolling_mean,high_risk_action_count_rolling_std,uninstall_flag_count_rolling_mean,uninstall_flag_count_rolling_std,token_flag_count_rolling_mean,token_flag_count_rolling_std,api_key_flag_count_rolling_mean,api_key_flag_count_rolling_std,events_count_delta_from_rolling_mean,events_count_zscore_like,failure_count_delta_from_rolling_mean,failure_count_zscore_like,unique_admins_delta_from_rolling_mean,unique_admins_zscore_like,unique_ips_delta_from_rolling_mean,unique_ips_zscore_like,high_risk_action_count_delta_from_rolling_mean,high_risk_action_count_zscore_like,uninstall_flag_count_delta_from_rolling_mean,uninstall_flag_count_zscore_like,token_flag_count_delta_from_rolling_mean,token_flag_count_zscore_like,api_key_flag_count_delta_from_rolling_mean,api_key_flag_count_zscore_like
2026-04-20 12:00:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,2,2,0,2,0,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,,0.0,,2.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 12:15:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 12:30:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 12:45:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 13:00:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 13:15:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 13:30:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 13:45:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 14:00:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 14:15:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20 14:30:00+00:00,2,2,2,2,2,2,2,300.0,300.0,300.0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.006666666666666667,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
